date,day_of_week,consumption,day,month,year,is_weekend
2025-01-01,Wednesday,7510.1,1,1,2025,0
2025-01-02,Thursday,9826.9,2,1,2025,0
2025-01-03,Friday,10269.8,3,1,2025,0
2025-01-04,Saturday,9708.6,4,1,2025,1
2025-01-05,Sunday,5820.4,5,1,2025,1
2025-01-06,Monday,11638.8,6,1,2025,0
2025-01-07,Tuesday,11248.3,7,1,2025,0
2025-01-08,Wednesday,11057.6,8,1,2025,0
2025-01-09,Thursday,11121.2,9,1,2025,0
2025-01-10,Friday,9961.0,10,1,2025,0
2025-01-11,Saturday,9278.0,11,1,2025,1
2025-01-12,Sunday,9363.8,12,1,2025,1
2025-01-13,Monday,3304.6,13,1,2025,0
2025-01-14,Tuesday,3170.6,14,1,2025,0
2025-01-15,Wednesday,2911.0,15,1,2025,0
2025-01-16,Thursday,2914.4,16,1,2025,0
2025-01-17,Friday,3339.8,17,1,2025,0
2025-01-18,Saturday,3712.8,18,1,2025,1
2025-01-19,Sunday,4375.8,19,1,2025,1
2025-01-20,Monday,7581.0,20,1,2025,0
2025-01-21,Tuesday,10474.6,21,1,2025,0
2025-01-22,Wednesday,11868.0,22,1,2025,0
2025-01-23,Thursday,11783.8,23,1,2025,0
2025-01-24,Friday,11652.0,24,1,2025,0
2025-01-25,Saturday,10739.0,25,1,2025,1
2025-01-26,Sunday,8610.0,26,1,2025,1
2025-01-27,Monday,11782.0,27,1,2025,0
2025-01-28,Tuesday,9954.0,28,1,2025,0
2025-01-29,Wednesday,12053.6,29,1,2025,0
2025-01-30,Thursday,12534.0,30,1,2025,0
2025-01-31,Friday,13342.0,31,1,2025,0
2025-02-01,Saturday,15197.6,1,2,2025,1
2025-02-02,Sunday,10090.6,2,2,2025,1
2025-02-03,Monday,12929.8,3,2,2025,0
2025-02-04,Tuesday,11964.0,4,2,2025,0
2025-02-05,Wednesday,12021.0,5,2,2025,0
2025-02-06,Thursday,11582.0,6,2,2025,0
2025-02-07,Friday,10239.5,7,2,2025,0
2025-02-08,Saturday,10333.0,8,2,2025,1
2025-02-09,Sunday,5291.0,9,2,2025,1
2025-02-10,Monday,6371.0,10,2,2025,0
2025-02-11,Tuesday,6381.8,11,2,2025,0
2025-02-12,Wednesday,12654.0,12,2,2025,0
2025-02-13,Thursday,14038.0,13,2,2025,0
2025-02-14,Friday,13675.0,14,2,2025,0
2025-02-15,Saturday,14997.0,15,2,2025,1
2025-02-16,Sunday,10113.0,16,2,2025,1
2025-02-17,Monday,13273.0,17,2,2025,0
2025-02-18,Tuesday,13860.0,18,2,2025,0
2025-02-19,Wednesday,15045.0,19,2,2025,0
2025-02-20,Thursday,15598.0,20,2,2025,0
2025-02-21,Friday,13437.0,21,2,2025,0
2025-02-22,Saturday,8982.0,22,2,2025,1
2025-02-23,Sunday,8530.0,23,2,2025,1
2025-02-24,Monday,12595.6,24,2,2025,0
2025-02-25,Tuesday,13178.0,25,2,2025,0
2025-02-26,Wednesday,13947.0,26,2,2025,0
2025-02-27,Thursday,13919.0,27,2,2025,0
2025-02-28,Friday,17032.0,28,2,2025,0
2025-03-01,Saturday,16149.0,1,3,2025,1
2025-03-02,Sunday,9607.7,2,3,2025,1
2025-03-03,Monday,14565.9,3,3,2025,0
2025-03-04,Tuesday,14379.6,4,3,2025,0
2025-03-05,Wednesday,17636.8,5,3,2025,0
2025-03-06,Thursday,15252.0,6,3,2025,0
2025-03-07,Friday,14453.0,7,3,2025,0
2025-03-08,Saturday,8689.0,8,3,2025,1
2025-03-09,Sunday,7343.0,9,3,2025,1
2025-03-10,Monday,13596.0,10,3,2025,0
2025-03-11,Tuesday,14351.0,11,3,2025,0
2025-03-12,Wednesday,12651.0,12,3,2025,0
2025-03-13,Thursday,14399.0,13,3,2025,0
2025-03-14,Friday,15118.0,14,3,2025,0
2025-03-15,Saturday,15971.0,15,3,2025,1
2025-03-16,Sunday,10000.0,16,3,2025,1
2025-03-17,Monday,16844.0,17,3,2025,0
2025-03-18,Tuesday,15053.0,18,3,2025,0
2025-03-19,Wednesday,15561.0,19,3,2025,0
2025-03-20,Thursday,17036.0,20,3,2025,0
2025-03-21,Friday,15775.0,21,3,2025,0
2025-03-22,Saturday,12693.0,22,3,2025,1
2025-03-23,Sunday,9472.0,23,3,2025,1
2025-03-24,Monday,16264.0,24,3,2025,0
2025-03-25,Tuesday,14473.0,25,3,2025,0
2025-03-26,Wednesday,14283.0,26,3,2025,0
2025-03-27,Thursday,15143.0,27,3,2025,0
2025-03-28,Friday,14770.0,28,3,2025,0
2025-03-29,Saturday,13645.0,29,3,2025,1
2025-03-30,Sunday,7101.0,30,3,2025,1
2025-03-31,Monday,8440.0,31,3,2025,0
2025-04-01,Tuesday,14673.0,1,4,2025,0
2025-04-02,Wednesday,14269.0,2,4,2025,0
2025-04-03,Thursday,13348.0,3,4,2025,0
2025-04-04,Friday,13560.0,4,4,2025,0
2025-04-05,Saturday,11612.0,5,4,2025,1
2025-04-06,Sunday,9089.0,6,4,2025,1
2025-04-07,Monday,13704.0,7,4,2025,0
2025-04-08,Tuesday,10304.0,8,4,2025,0
2025-04-09,Wednesday,17268.0,9,4,2025,0
2025-04-10,Thursday,11607.0,10,4,2025,0
2025-04-11,Friday,15657.0,11,4,2025,0
2025-04-12,Saturday,12927.0,12,4,2025,1
2025-04-13,Sunday,6692.0,13,4,2025,1
2025-04-14,Monday,9107.0,14,4,2025,0
2025-04-15,Tuesday,11257.0,15,4,2025,0
2025-04-16,Wednesday,14371.0,16,4,2025,0
2025-04-17,Thursday,13954.0,17,4,2025,0
2025-04-18,Friday,8263.0,18,4,2025,0
2025-04-19,Saturday,8286.0,19,4,2025,1
2025-04-20,Sunday,7982.0,20,4,2025,1
2025-04-21,Monday,15207.0,21,4,2025,0
2025-04-22,Tuesday,18353.0,22,4,2025,0
2025-04-23,Wednesday,13913.0,23,4,2025,0
2025-04-24,Thursday,14896.0,24,4,2025,0
2025-04-25,Friday,14046.0,25,4,2025,0
2025-04-26,Saturday,13609.0,26,4,2025,1
2025-04-27,Sunday,7686.0,27,4,2025,1
2025-04-28,Monday,12625.0,28,4,2025,0
2025-04-29,Tuesday,13972.0,29,4,2025,0
2025-04-30,Wednesday,14384.0,30,4,2025,0
2025-05-01,Thursday,11032.0,1,5,2025,0
2025-05-02,Friday,16779.0,2,5,2025,0
2025-05-03,Saturday,13633.0,3,5,2025,1
2025-05-04,Sunday,9553.0,4,5,2025,1
2025-05-05,Monday,14580.0,5,5,2025,0
2025-05-06,Tuesday,13892.0,6,5,2025,0
2025-05-07,Wednesday,14388.0,7,5,2025,0
2025-05-08,Thursday,14726.0,8,5,2025,0
2025-05-09,Friday,13909.0,9,5,2025,0
2025-05-10,Saturday,8313.0,10,5,2025,1
2025-05-11,Sunday,7416.0,11,5,2025,1
2025-05-12,Monday,13921.0,12,5,2025,0
2025-05-13,Tuesday,14684.0,13,5,2025,0
2025-05-14,Wednesday,14744.0,14,5,2025,0
2025-05-15,Thursday,12020.0,15,5,2025,0
2025-05-16,Friday,13063.0,16,5,2025,0
2025-05-17,Saturday,13695.0,17,5,2025,1
2025-05-18,Sunday,8104.0,18,5,2025,1
2025-05-19,Monday,13626.0,19,5,2025,0
2025-05-20,Tuesday,13827.0,20,5,2025,0
2025-05-21,Wednesday,13013.0,21,5,2025,0
2025-05-22,Thursday,12860.0,22,5,2025,0
2025-05-23,Friday,10220.0,23,5,2025,0
2025-05-24,Saturday,7326.0,24,5,2025,1
2025-05-25,Sunday,6066.0,25,5,2025,1
2025-05-26,Monday,8019.0,26,5,2025,0
2025-05-27,Tuesday,9439.0,27,5,2025,0
2025-05-28,Wednesday,12077.0,28,5,2025,0
2025-05-29,Thursday,10412.0,29,5,2025,0
2025-05-30,Friday,9562.0,30,5,2025,0
2025-05-31,Saturday,11750.0,31,5,2025,1
2025-06-01,Sunday,8264.0,1,6,2025,1
2025-06-02,Monday,10703.0,2,6,2025,0
2025-06-03,Tuesday,11266.0,3,6,2025,0
2025-06-04,Wednesday,11822.0,4,6,2025,0
2025-06-05,Thursday,10691.0,5,6,2025,0
2025-06-06,Friday,9938.0,6,6,2025,0
2025-06-07,Saturday,7412.0,7,6,2025,1
2025-06-08,Sunday,6828.0,8,6,2025,1
2025-06-09,Monday,10411.0,9,6,2025,0
2025-06-10,Tuesday,7944.0,10,6,2025,0
2025-06-11,Wednesday,11908.0,11,6,2025,0
2025-06-12,Thursday,8204.0,12,6,2025,0
2025-06-13,Friday,7356.0,13,6,2025,0
2025-06-14,Saturday,5195.0,14,6,2025,1
2025-06-15,Sunday,6143.0,15,6,2025,1
2025-06-16,Monday,10001.0,16,6,2025,0
2025-06-17,Tuesday,7751.0,17,6,2025,0
2025-06-18,Wednesday,11259.0,18,6,2025,0
2025-06-19,Thursday,11931.0,19,6,2025,0
2025-06-20,Friday,11419.0,20,6,2025,0
2025-06-21,Saturday,8167.0,21,6,2025,1
2025-06-22,Sunday,8511.0,22,6,2025,1
2025-06-23,Monday,10699.0,23,6,2025,0
2025-06-24,Tuesday,11307.0,24,6,2025,0
2025-06-25,Wednesday,12834.0,25,6,2025,0
2025-06-26,Thursday,11720.0,26,6,2025,0
2025-06-27,Friday,14786.0,27,6,2025,0
2025-06-28,Saturday,12122.0,28,6,2025,1
2025-06-29,Sunday,7762.0,29,6,2025,1
2025-06-30,Monday,11833.0,30,6,2025,0
2025-07-01,Tuesday,12147.0,1,7,2025,0
2025-07-02,Wednesday,11831.0,2,7,2025,0
2025-07-03,Thursday,12061.0,3,7,2025,0
2025-07-04,Friday,12516.0,4,7,2025,0
2025-07-05,Saturday,11091.0,5,7,2025,1
2025-07-06,Sunday,7348.0,6,7,2025,1
2025-07-07,Monday,10546.0,7,7,2025,0
2025-07-08,Tuesday,7198.0,8,7,2025,0
2025-07-09,Wednesday,11649.0,9,7,2025,0
2025-07-10,Thursday,11464.0,10,7,2025,0
2025-07-11,Friday,10853.0,11,7,2025,0
2025-07-12,Saturday,6322.0,12,7,2025,1
2025-07-13,Sunday,5541.0,13,7,2025,1
2025-07-14,Monday,10840.0,14,7,2025,0
2025-07-15,Tuesday,10817.0,15,7,2025,0
2025-07-16,Wednesday,14317.0,16,7,2025,0
2025-07-17,Thursday,12855.0,17,7,2025,0
2025-07-18,Friday,12934.0,18,7,2025,0
2025-07-19,Saturday,12251.0,19,7,2025,1
2025-07-20,Sunday,8242.0,20,7,2025,1
2025-07-21,Monday,12525.0,21,7,2025,0
2025-07-22,Tuesday,12111.0,22,7,2025,0
2025-07-23,Wednesday,11999.0,23,7,2025,0
2025-07-24,Thursday,25293.0,24,7,2025,0
2025-07-25,Friday,11120.0,25,7,2025,0
2025-07-26,Saturday,7809.0,26,7,2025,1
2025-07-27,Sunday,7940.0,27,7,2025,1
2025-07-28,Monday,12151.0,28,7,2025,0
2025-07-29,Tuesday,13621.0,29,7,2025,0
2025-07-30,Wednesday,13427.0,30,7,2025,0
2025-07-31,Thursday,13875.0,31,7,2025,0
2025-08-01,Friday,13529.0,1,8,2025,0
2025-08-02,Saturday,13809.0,2,8,2025,1
2025-08-03,Sunday,7316.0,3,8,2025,1
2025-08-04,Monday,12768.0,4,8,2025,0
