date,day_of_week,consumption,day,month,year,is_weekend
01-01-2025,Wednesday,3204.160615,1,1,2025,0
02-01-2025,Thursday,3292.097846,2,1,2025,0
03-01-2025,Friday,3144.390827,3,1,2025,0
04-01-2025,Saturday,2472.587385,4,1,2025,1
05-01-2025,Sunday,2542.031154,5,1,2025,1
06-01-2025,Monday,2878.512538,6,1,2025,0
07-01-2025,Tuesday,2651.120308,7,1,2025,0
08-01-2025,Wednesday,3204.160615,8,1,2025,0
09-01-2025,Thursday,3292.097846,9,1,2025,0
10-01-2025,Friday,3144.390827,10,1,2025,0
11-01-2025,Saturday,2472.587385,11,1,2025,1
12-01-2025,Sunday,2542.031154,12,1,2025,1
13-01-2025,Monday,2878.512538,13,1,2025,0
14-01-2025,Tuesday,2651.120308,14,1,2025,0
15-01-2025,Wednesday,3204.160615,15,1,2025,0
16-01-2025,Thursday,3292.097846,16,1,2025,0
17-01-2025,Friday,3144.390827,17,1,2025,0
18-01-2025,Saturday,2472.587385,18,1,2025,1
19-01-2025,Sunday,2542.031154,19,1,2025,1
20-01-2025,Monday,2878.512538,20,1,2025,0
21-01-2025,Tuesday,2651.120308,21,1,2025,0
22-01-2025,Wednesday,3204.160615,22,1,2025,0
23-01-2025,Thursday,3292.097846,23,1,2025,0
24-01-2025,Friday,3144.390827,24,1,2025,0
25-01-2025,Saturday,2472.587385,25,1,2025,1
26-01-2025,Sunday,2542.031154,26,1,2025,1
27-01-2025,Monday,2878.512538,27,1,2025,0
28-01-2025,Tuesday,2651.120308,28,1,2025,0
29-01-2025,Wednesday,3204.160615,29,1,2025,0
30-01-2025,Thursday,3292.097846,30,1,2025,0
31-01-2025,Friday,3144.390827,31,1,2025,0
01-02-2025,Saturday,2472.587385,1,2,2025,1
02-02-2025,Sunday,2542.031154,2,2,2025,1
03-02-2025,Monday,2878.512538,3,2,2025,0
04-02-2025,Tuesday,2651.120308,4,2,2025,0
05-02-2025,Wednesday,3204.160615,5,2,2025,0
06-02-2025,Thursday,3292.097846,6,2,2025,0
07-02-2025,Friday,3144.390827,7,2,2025,0
08-02-2025,Saturday,2472.587385,8,2,2025,1
09-02-2025,Sunday,2542.031154,9,2,2025,1
10-02-2025,Monday,2878.512538,10,2,2025,0
11-02-2025,Tuesday,2651.120308,11,2,2025,0
12-02-2025,Wednesday,3204.160615,12,2,2025,0
13-02-2025,Thursday,3292.097846,13,2,2025,0
14-02-2025,Friday,3144.390827,14,2,2025,0
15-02-2025,Saturday,2472.587385,15,2,2025,1
16-02-2025,Sunday,2542.031154,16,2,2025,1
17-02-2025,Monday,2878.512538,17,2,2025,0
18-02-2025,Tuesday,2651.120308,18,2,2025,0
19-02-2025,Wednesday,3204.160615,19,2,2025,0
20-02-2025,Thursday,3292.097846,20,2,2025,0
21-02-2025,Friday,3144.390827,21,2,2025,0
22-02-2025,Saturday,2472.587385,22,2,2025,1
23-02-2025,Sunday,2542.031154,23,2,2025,1
24-02-2025,Monday,2878.512538,24,2,2025,0
25-02-2025,Tuesday,2651.120308,25,2,2025,0
26-02-2025,Wednesday,3204.160615,26,2,2025,0
27-02-2025,Thursday,3292.097846,27,2,2025,0
28-02-2025,Friday,3144.390827,28,2,2025,0
01-03-2025,Saturday,2472.587385,1,3,2025,1
02-03-2025,Sunday,2542.031154,2,3,2025,1
03-03-2025,Monday,2878.512538,3,3,2025,0
04-03-2025,Tuesday,2651.120308,4,3,2025,0
