DATE_TIME,PEAK_POWER_KW,PEAK_CURRENT_A,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,ENERGY_KWH_HOUR,AVG_POWER_KW,IS_GENERATING
15-05-2020 00:00,0,0,24.94703803,22.56234001,0,0,0,0
15-05-2020 01:00,0,0,24.7041257,22.51237347,0,0,0,0
15-05-2020 02:00,0,0,24.99609761,23.6705078,0,0,0,0
15-05-2020 03:00,0,0,24.91522486,23.91711086,0,0,0,0
15-05-2020 04:00,0,0,24.21812694,22.12866881,0,0,0,0
15-05-2020 05:00,636.5041667,885.508077,24.26463941,22.97985052,0.000902492,10.60840278,10.60840278,0
15-05-2020 06:00,102055.7915,141980.5752,24.12632842,23.55485653,0.059116092,1700.929859,1700.929859,0
15-05-2020 07:00,271931.8454,378313.0702,24.9924954,29.29985875,0.15452621,4532.197423,4532.197423,0
15-05-2020 08:00,615570.3536,856384.8418,26.41713839,38.17159722,0.365457047,10259.50589,10259.50589,0
15-05-2020 09:00,749928.5571,1043304.709,27.76201776,43.80295253,0.445167083,12498.80929,12498.80929,0
15-05-2020 10:00,864812.8614,1203132.382,28.99265364,47.80261436,0.511037198,14413.54769,14413.54769,0
15-05-2020 11:00,967636.9362,1346181.797,30.40228244,49.01732904,0.547664619,16127.28227,16127.28227,0
15-05-2020 12:00,1115403.943,1551756.065,31.9916436,50.55298097,0.666788349,18590.06572,18590.06572,1
15-05-2020 13:00,982830.2893,1367318.872,32.71378362,47.72470163,0.547428783,16380.50482,16380.50482,1
15-05-2020 14:00,1088174.859,1513874.814,33.9326277,51.30256615,0.620195328,18136.24765,18136.24765,1
15-05-2020 15:00,789523.9786,1098390.076,34.24926243,44.93045762,0.434652892,13158.73298,13158.73298,0
15-05-2020 16:00,534165.1893,743133.5321,34.07198914,40.50093717,0.300768404,8902.753155,8902.753155,0
15-05-2020 17:00,171583.9911,238708.5866,32.75228542,33.87130255,0.099737832,2859.733185,2859.733185,0
15-05-2020 18:00,8209.291071,11420.81063,28.7598588,27.47427554,0.005753734,136.8215179,136.8215179,0
15-05-2020 19:00,0,0,25.7807061,24.11633968,5.64E-05,0,0,0
15-05-2020 20:00,0,0,22.54572623,20.47094931,0,0,0,0
15-05-2020 21:00,0,0,22.19271236,20.76763508,0,0,0,0
15-05-2020 22:00,0,0,22.13489318,20.92282585,0,0,0,0
15-05-2020 23:00,0,0,22.14524709,21.04970215,0,0,0,0
16-05-2020 00:00,0,0,21.96062765,20.65997797,0,0,0,0
16-05-2020 01:00,0,0,21.77600821,20.27025379,0,0,0,0
16-05-2020 02:00,0,0,21.59008787,19.80141794,0,0,0,0
16-05-2020 03:00,0,0,21.73276169,20.34613489,0,0,0,0
16-05-2020 04:00,0,0,21.9372093,20.74688853,0,0,0,0
16-05-2020 05:00,764.1375,1063.072268,21.90778821,20.56492879,0.000760821,12.735625,12.735625,0
16-05-2020 06:00,93873.9625,130597.9699,22.03905783,21.35107813,0.051653145,1564.566042,1564.566042,0
16-05-2020 07:00,345089.4857,480090.3794,23.03495902,26.13573205,0.18828019,5751.491429,5751.491429,0
16-05-2020 08:00,725309.1411,1009054.043,25.05665117,35.74804698,0.402615617,12088.48568,12088.48568,0
16-05-2020 09:00,836235.2464,1163375.047,26.6683257,40.79827994,0.46399699,13937.25411,13937.25411,0
16-05-2020 10:00,1050829.275,1461919.433,28.33212039,47.77423346,0.562562953,17513.82125,17513.82125,1
16-05-2020 11:00,1038065.35,1444162.191,29.62313786,47.81968815,0.568583873,17301.08917,17301.08917,1
16-05-2020 12:00,1223129.104,1701623.897,30.78638197,51.18435232,0.692432737,20385.48506,20385.48506,1
16-05-2020 13:00,1087833.532,1513399.958,31.50287707,49.7559161,0.590527061,18130.55887,18130.55887,1
16-05-2020 14:00,968648.8196,1347589.534,32.11992734,47.14683725,0.52820837,16144.14699,16144.14699,0
16-05-2020 15:00,655531.0982,911978.4482,32.30053742,42.70869654,0.351489676,10925.5183,10925.5183,0
16-05-2020 16:00,336129.5518,467625.2704,31.91295306,35.67827578,0.175359618,5602.159196,5602.159196,0
16-05-2020 17:00,153278.1143,213241.3507,31.24169921,31.42494291,0.080663515,2554.635238,2554.635238,0
16-05-2020 18:00,10680.50357,14858.77497,29.14623238,26.33040463,0.005787981,178.0083929,178.0083929,0
16-05-2020 19:00,0,0,27.61412724,25.07083103,0,0,0,0
16-05-2020 20:00,0,0,26.50090829,23.86944904,0,0,0,0
16-05-2020 21:00,0,0,25.39739805,22.71814673,0,0,0,0
16-05-2020 22:00,0,0,24.6805838,22.08807245,0,0,0,0
16-05-2020 23:00,0,0,24.33638672,22.01429335,0,0,0,0
17-05-2020 00:00,0,0,23.9694311,21.56018444,0,0,0,0
17-05-2020 01:00,0,0,23.73263247,21.58953993,0,0,0,0
17-05-2020 02:00,0,0,23.38504657,21.35226673,0,0,0,0
17-05-2020 03:00,0,0,23.05335321,21.07573666,0,0,0,0
17-05-2020 04:00,0,0,22.79052977,20.97844923,0,0,0,0
17-05-2020 05:00,22.8375,31.77165487,22.58399665,21.08069465,0.00064157,0.380625,0.380625,0
17-05-2020 06:00,67850.19107,94393.55682,22.85047039,22.18034436,0.041729622,1130.836518,1130.836518,0
17-05-2020 07:00,411533.6304,572527.8368,23.99237047,28.29603717,0.24365325,6858.893839,6858.893839,0
17-05-2020 08:00,793530.4982,1103963.968,26.27726437,40.88836697,0.458287821,13225.5083,13225.5083,0
17-05-2020 09:00,1093438.071,1521197.024,28.65691103,47.99137978,0.624981254,18223.96786,18223.96786,1
17-05-2020 10:00,1347539.736,1874704.649,30.46120381,52.16998275,0.759884344,22458.9956,22458.9956,1
17-05-2020 11:00,1457741.262,2028017.615,32.04071125,60.20607614,0.893772019,24295.68771,24295.68771,1
17-05-2020 12:00,1176533.268,1636799.515,33.22203892,55.77438418,0.706614394,19608.8878,19608.8878,1
17-05-2020 13:00,1047185.548,1456850.261,33.74977606,51.05662566,0.592676477,17453.09247,17453.09247,1
17-05-2020 14:00,915357.6339,1273450.545,34.31295924,48.78264167,0.524317763,15255.96057,15255.96057,0
17-05-2020 15:00,878750.2661,1222522.175,34.94574364,48.04517891,0.49165794,14645.83777,14645.83777,0
17-05-2020 16:00,549708.65,764757.6796,30.47625458,37.56811176,0.298802779,9161.810833,9161.810833,0
17-05-2020 17:00,165873.2804,230763.8146,27.56490988,29.48143481,0.089874008,2764.554673,2764.554673,0
17-05-2020 18:00,9565.966071,13308.2243,26.09937529,25.08627698,0.0059513,159.4327679,159.4327679,0
17-05-2020 19:00,0,0,25.87009803,24.10880247,0,0,0,0
17-05-2020 20:00,0,0,25.40350663,24.04720745,0,0,0,0
17-05-2020 21:00,0,0,22.18864416,21.13598807,0,0,0,0
17-05-2020 22:00,0,0,21.28018615,20.58789578,0,0,0,0
17-05-2020 23:00,0,0,21.22234453,20.60642513,0,0,0,0
18-05-2020 00:00,0,0,21.10920841,20.52114163,0,0,0,0
18-05-2020 01:00,0,0,21.00599052,20.39194733,0,0,0,0
18-05-2020 02:00,0,0,21.11332466,20.26183848,0,0,0,0
18-05-2020 03:00,0,0,21.36565736,20.82790515,0,0,0,0
18-05-2020 04:00,0,0,21.10778343,19.99148274,0,0,0,0
18-05-2020 05:00,1074.7,1495.128516,21.18286901,20.01723701,0.001132642,17.91166667,17.91166667,0
18-05-2020 06:00,99512.30536,138442.0633,21.56708693,21.53956982,0.055577835,1658.538423,1658.538423,0
18-05-2020 07:00,303527.0446,422268.4842,22.62282499,26.91616848,0.163079158,5058.784077,5058.784077,0
18-05-2020 08:00,214061.4161,297803.4125,23.46540305,27.00414807,0.107649323,3567.690268,3567.690268,0
18-05-2020 09:00,209888.1607,291997.5568,23.77274216,27.17671364,0.105073895,3498.136012,3498.136012,0
18-05-2020 10:00,485073.1232,674836.3814,24.12722951,30.21424769,0.247162227,8084.552054,8084.552054,0
18-05-2020 11:00,832389.85,1158025.311,25.22368572,38.85429709,0.436365182,13873.16417,13873.16417,0
18-05-2020 12:00,1070154.266,1488804.466,26.60063126,44.81123508,0.578065396,17835.90443,17835.90443,1
18-05-2020 13:00,1378918.979,1918359.623,27.50109826,48.86718812,0.78535242,22981.98298,22981.98298,1
18-05-2020 14:00,860945.9589,1197752.726,27.5479567,42.28287677,0.469461871,14349.09932,14349.09932,0
18-05-2020 15:00,950606.6554,1322489.177,27.53703123,42.7720622,0.515468214,15843.44426,15843.44426,0
18-05-2020 16:00,487240.2518,677851.3025,27.25572476,35.29432748,0.260796235,8120.670863,8120.670863,0
